RX_SETTINGS,,טלקמ ינוויכ,,
NO_RESPONSE_FROM_RECEIVER,,טלקמהמ הבוגת ןיא,,
SBUS_OUT,,SBUS תאיצי,,
SBUS_IN,,SBUS תסינכ,,
TELEMETRY_25_MW,,25 הירטמלט mW,,
HIGH_PWM_SPEED,,תוריהמ PWM ההובג,,
FLIGHT_DATA_RECORDER,,הסיט עדימ טילקמ,,
RX_HAS_NO_FLIGHT_DATA_RECORD,,הסיט עדימ טילקמ ןיא טלקמל,,
DEVICE_CONFIG,,םינשייח תרדגה,,
CONFIRM_DELETE_TIMER,,? הז רמייט קוחמל ךנוצרבש חוטב התא םאה,,
TIMER,, רמייט,,
MODE,,בצמ,,
PASTE,,קבדה,,
TIMERS,,םירמייט,,
COPY,,קתעה,,
NO_TIMER_YET_PRESS_ADD_TO_CREATE_ONE,,! דחא רוציל ידכב '+' ץחל .םימייק אל םירמייט,,
ANTENNA,,הנטנא,,
POWER_HAS_BEEN_CHANGED_PLEASE_REBIND,,!שדחמ דנייב עצב ?הנוש קפסה ,,
NO_RESPONSE_FROM_MODULE,,! לודומהמ הבוגת ןיא,,
POWER,,קפסה,,
BAUDRATE,,תרושקת בצק,,
ARMING_CONDITION,,גנימרא יאנת,,
WAITING_FOR_MODULE,,לודומל ןיתממ...,,
TX_SETTINGS,,רדשמ ינוויכ,,
MIXES,,רסקימ,,
CHANNELS,,םיצורע,,
FLIGHT_MODE,,הסיט בצמ,,
DRIVE_MODE,,הענה דומ,,
D,,D,,
CONFIRM_DELETE_MIX,,? הז רסקימ קוחמל ךנוצרבש חוטב התא םאה,,
CONFIRM_DELETE_SSS,,קוחמל ךנוצרבש חוטב התא םאה %?,,
NONE,,אלל,,
NO_MIX_YET_PRESS_ADD_TO_CREATE_ONE,,! דחא רוציל ידכב '+' ץחל .םירסקימ םימייק אל,,
TYPE,,גוס,,
SHARE,,ףתש,,
RX,,טלקמ,,
RACING_MODE,,ץורימ בצמ,,
RANGE_CHECK,,חווט תקידב,חווט,
EXTERNAL_MODULE,,ינוציח לודומ,,
BIND_OK,,חילצה דנייב,,
BINDING_3DOTS,,דנייב עצבמ...,,
BIND,,דנייב,,
FAILSAFE,,ףייסלייפ,,
INTERNAL_MODULE,,ימינפ לודומ,,
SET_FAILSAFE,,ףייסלייפ ןווכ,,
RESET_BIND,,דנייב סופיא,,
FACTORY_RESET,,ןרצי תורדגהל סופיא,,
RF_SYSTEM,,תרושקת תכרעמ,,
LINKS,,םירושיק,,
OWNER_REGISTRATION_ID,,םילעב ההזמ רפסמ,,
SELECT_DEVICE,,רישכמ רחב,,
REGISTER,,םושיר,,
VALID_FRAME_RATE,,VFR,,
STATE,,בצמ,,
PROTOCOL,,לוקוטורפ,,
ARE_YOU_SURE_TO_RESET_THIS_RECEIVER,,הז טלקמ ספאל ךנוצרבש חוטב התא םאה?,,
SET,,רדגה,,
EXPO,,ופסקא,,
UNIT_POINTS_COUNT,,תודוקנ,,
WEIGHT,,לקשמ,,
POINTS,,תודוקנ ןוויכ,,
OFFSET,,טסיה,,
AUTO_OFFSET,,יטמוטוא טסיה,,
OFFSET_WHEN_ACTIVE,,ליעפ בצמב טסיה,,
OFFSET_WHEN_INACTIVE,,ליעפ אל בצמב טסיה,,
SMOOTH,,קלח,,
POINT,,הדוקנ,,
POINTS_COUNT,,תודוקנ רפסמ,,
EASY_MODE,,טושפ דומ,,
LOGIC_SWITCHES,,םייגול םיקספמ,יגול קספמ,
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_LOGIC_SWITCH,,?הז יגול גתמ קוחמל ךנוצרבש חוטב התא םאה,,
NO_LOGIC_SWITCH_YET_PRESS_ADD_TO_CREATE_ONE,,! קספמ תריציל '+' ץחל .םייגול םיקספמ םימייק אל,,
START_CONDITION,,הלחתה יאנת,,
STOP_CONDITION,,םויס יאנת,,
TIMER_EDIT,,רמייט תכירע,,
PERSISTENT,,יבקע,,
START_VALUE,,לחתה,הלחתה ךרע,
AUDIO_ACTIONS,,לוק תויוליעפ,,
AUDIO_ACTION,,לוק תוליעפ,,
ADD_A_NEW_AUDIO_ACTION,,לוק תוליעפ ךסוה,,
ALARM_VALUE,,הארתה,הארתה ךרע,
HAPTIC,,טטר,,
COUNT_SECONDS,,רוחאל הוריפס,,
START,,הלחתה,,
PLAY_FILE,,ץבוק ןגנ,,
SPACE_WITH_OTHERS,, םירחא...,,
CONFIRM_DELETE_CURVE,,? וז המוקע קוחמל ךנוצרבש חוטב התא םאה,,
CURVE_USED_BY,,םיאבה םירסקימב שומישב וז המוקע:,,
AND_WITH_TWO_SPACES,, ו ,,
CURVES,,תומוקע,,
VARS,,םינתשמ,,
NO_VAR_YET_PRESS_ADD_TO_CREATE_ONE,,הנתשמ תפסוהל ףסוה ץחל .םינתשמ ןיא,,
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_VAR,,הנתשמ קוחמל ךנוצרבש חוטב התא םאה?,,
NO_CURVE_YET_PRESS_ADD_TO_CREATE_ONE,,! תחא רוציל ידכב '+' לע ץחל .תורדגומ תומוקע ןיא,,
CONFIRM_RESET_MIXES,,? ךישמהל ךנוצרבש חוטב התא םאה .םירסקימה לכ תא ספאת וז הלועפ,,
ELEVATORS,,הבוג יאגה,,
YAW,,בוסבס,,
SWASH_PLATE,,טיילפ שאווס,,
EDIT_MODEL,,לדומ תכירע,,
PICTURE,,הנומת,,
TAIL,,בנז,,
AILERONS,,תונזאמ,,
PITCH,,דורלע,,
THROTTLE,,תרעצמ,,
FLAPS,,םיפדמ,,
ENGINE,,עונמ,,
RUDDERS,,ןוויכ יאגה,,
ROLL,,לוגלג,,
FUNCTION_SWITCHES,,םיילנויצקנופ םיגתמ,,
RESET_ALL_MIXES,,םירסקימה לכ תא ספא,,
CREATE_CALCULATED_SENSOR,,בשוחמ ןשייח רוצ,,
CONFIRM_DELETE_SENSORS,,? חוטב ךנה םאה \n. ורסוי םינשייחה לכ,,
ON,,לעפומ,,
OFF,,יובכ,,
DISCOVER_NEW_SENSORS,,םישדח םינשייח הלג,,
STOP_DISCOVER,,יוליג קספה,,
DELETE_ALL,,לכה קחמ,,
INDIVIDUAL_RSSI_ALERT_PER_BAND,,RSSI רדת םוחת לכל דרפנ,,
CREATE_DIY_SENSOR,,DIY ןשייח רוצ,,
CONFIRM_LOAD_ALL_SWITCH_POSITIONS,,? ךישמהל ךנוצרבש חוטב התא םאה .יחכונה םיגתמה בצמ םע םיגתמה תוקידב לכ תא סורדת וז הלועפ,,
CHECK_FUNCTION,,היצקנופ קודב,,
LOAD_ALL_SWITCH_POSITIONS,,םיגתמה לכ םוקימ ןעט,,
CONFIRM_LOAD_ALL_POT_POSITIONS,,? ךישמהל ךנוצרבש חוטב התא םאה .יחכונה םיגתמה בצמ םע םירטמויצנטופה תוקידב לכ תא סורדת וז הלועפ,,
LOAD_ALL_POT_POSITIONS,,םירטמויצנטופה לכ םוקימ ןעט,,
CALIBRATION_FINISH,,! םייתסה לויכה,,
SXR_CALIBRATION,,SxR לויכ,,
CLICK_WHEN_DONE,,םויסב ץחל,,
CALIBRATING,,לייכמ...,,
SXR_CALIBRATION_DESCRIPTION,,SxR ורי'ג לויכ,,
SLAVE_CH,,ביילס ץורע,,
PERCENT,,זוחא,,
DESTINATION,,דעי,,
ENABLE,,לעפומ,,
NO_FUNCTION_YET_PRESS_ADD_TO_CREATE_ONE,,! תחא רוציל ידכב '+' לע ץחל .תורדגומ תויצקנופ ןיא,,
NO_TRAINER_YET_PRESS_ADD_TO_CREATE_ONE,,שדח תריציל ףסוה ץחל .רניירט ןיא,,
SPECIAL_FUNCTIONS,,תודחוימ תויצקנופ,,
NEW_FUNCTION,,השדח היצקנופ,,
SF,,'קנופ,,
DISABLE,,יובכ,,
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_SPECIAL_FUNCTION,,?וז תדחוימ היצקנופ קוחמל ךנוצרבש חוטב התא םאה,,
REGISTRATION_OK,,חילצה םושירה,,
UID,,UID,,
REGISTRATION_ID,,םושיר ההזמ,,
RX_NAME,,טלקמ םש,,
RECEIVER_CONNECTED,,רבוחמ טלקמ,,
REGISTRATION,,םושיר,,
TRIMS,,םיזוזיק,,
FADE_IN,,הסינכ תטאה,,
FADE_OUT,,האיצי תטאה,,
AUTO_DETECT,,יטמוטוא יוהיז,,
DISPLAY_DECIMALS_AND_UNIT,,הדיחי / הגוצת קויד,,
SELECT_SENSOR,,ןשייח רחב,,
DIY_SENSOR,,DIY ןשייח,,
WAITING,,ןיתממ,,
