chemin,texte parlé,options,description
system/rssi-900m-lost.wav,Signal radio 900 mega perdu,,
system/rssi-900m-recovered.wav,Signal radio 900 mega retrouvé,,
system/rssi-900m-critical-warning.wav,Signal radio 900 mega critique,,
system/rssi-900m-low-warning.wav,Signal radio 900 mega faible,,
system/rssi-int2g4-lost.wav,Signal radio module interne 2 giga 4 perdu,,
system/rssi-int2g4-recovered.wav,Signal radio module interne 2 giga 4 retrouvé,,
system/rssi-int2g4-critical-warning.wav,Signal radio module interne 2 giga 4 critique,,
system/rssi-int2g4-low-warning.wav,Signal radio module interne 2 giga 4 faible,,
system/rssi-intlora-lost.wav,Signal radio module interne lora perdu,,
system/rssi-intlora-recovered.wav,Signal radio module interne lora retrouvé,,
system/rssi-intlora-critical-warning.wav,Signal radio module interne lora critique,,
system/rssi-intlora-low-warning.wav,Signal radio module interne lora faible,,
system/rssi-int900m-lost.wav,Signal radio module interne 900 mega perdu,,
system/rssi-int900m-recovered.wav,Signal radio module interne 900 mega retrouvé,,
system/rssi-int900m-critical-warning.wav,Signal radio module interne 900 mega critique,,
system/rssi-int900m-low-warning.wav,Signal radio module interne 900 mega faible,,
system/rssi-ext2g4-lost.wav,Signal radio module externe 2 giga 4 perdu,,
system/rssi-ext2g4-recovered.wav,Signal radio module externe 2 giga 4 retrouvé,,
system/rssi-ext2g4-critical-warning.wav,Signal radio module externe 2 giga 4 critique,,
system/rssi-ext2g4-low-warning.wav,Signal radio module externe 2 giga 4 faible,,
system/rssi-extlora-lost.wav,Signal radio module externe lora perdu,,
system/rssi-extlora-recovered.wav,Signal radio module externe lora retrouvé,,
system/rssi-extlora-critical-warning.wav,Signal radio module externe lora critique,,
system/rssi-extlora-low-warning.wav,Signal radio module externe lora faible,,
system/rssi-ext900m-lost.wav,Signal radio module externe 900 mega perdu,,
system/rssi-ext900m-recovered.wav,Signal radio module externe 900 mega retrouvé,,
system/rssi-ext900m-critical-warning.wav,Signal radio module externe 900 mega critique,,
system/rssi-ext900m-low-warning.wav,Signal radio module externe 900 mega faible,,
system/trainer-lost.wav,Radio élève déconnectée,,
system/trainer-recovered.wav,Radio élève reconnectée,,
system/no-calibration.wav,Les manches ne sont pas calibrés,,
system/throttle-warning.wav,Alerte manche des gaz,,
system/register.wav,Enregistrement ...,,
system/bind.wav,Appairage ...,,
system/range-check.wav,Test de portée ...,,
system/rx-on-warning.wav,Le récepteur est encore allumé,,
system/sensor-lost.wav,Capteur perdu,,
system/sensor-conflict.wav,Conflit de capteurs,,
system/vfr-low-warning.wav,Alerte VFR,,
system/function-switches-warning.wav,Alerte inters de fonctions,,
moteur-on.wav,Moteur activé,,
moteur-off.wav,Moteur désactivé,,
volets-attero.wav,Volets atterrissage,,
volets-approche.wav,Volets approche,,
volets-rentres.wav,Volets rentrés,,
volets-1.wav,Volets 1,,
volets-2.wav,Volets 2,,
volets-3.wav,Volets 3,,
volets-4.wav,Volets 4,,
volets-5.wav,Volets 5,,
batt-modele-bas.wav,Batterie modèle faible,,
batt-modele-crit.wav,Batterie modèle critique,,
altitude.wav,Altitude,,
altitude-on.wav,Maintien altitude activé,,
altitude-off.wav,Maintien altitude désactivé,,
temp-moteur.wav,Température moteur,,
temp-esc.wav,Température contrôleur,,
pv-0.wav,Phase de vol 0,,
pv-1.wav,Phase de vol 1,,
pv-2.wav,Phase de vol 2,,
pv-3.wav,Phase de vol 3,,
pv-4.wav,Phase de vol 4,,
pv-5.wav,Phase de vol 5,,
pv-6.wav,Phase de vol 6,,
pv-7.wav,Phase de vol 7,,
pv-8.wav,Phase de vol 8,,
pv-attero.wav,Phase de vol atterrissage,,
pv-approche.wav,Phase de vol approche,,
pv-manuel.wav,Phase de vol manuel,,
pv-expert.wav,Phase de vol expert,,
pv-normal.wav,Phase de vol normal,,
pv-thermique.wav,Phase de vol thermique,,
pv-lance.wav,Phase de vol lancé,,
pv-course.wav,Phase de vol course,,
pv-rapide.wav,Phase de vol rapide,,
pv-vitesse.wav,Phase de vol vitesse,,
pv-3d.wav,Phase de vol 3D,,
pv-panic.wav,Phase de vol panique,,
pv-vector.wav,Phase de vol vectoriel,,
pv-stab.wav,Phase de vol stabilisé,,
pv-4d.wav,Phase de vol 4D,,
train-sorti.wav,Train sorti,,
train-rentré.wav,Train rentré,,
vario.wav,Vario,,
vario-on.wav,Vario activé,,
vario-off.wav,Vario désactivé,,
nop.wav,Pas de fonction,,
accx.wav,Accélération X,,
accy.wav,Accélération Y,,
accz.wav,Accélération Z,,
trappe-on.wav,Trappe ouverte,,
trappe-off.wav,Trappe fermée,,
gyro-on.wav,Gyro activé,,
gyro-off.wav,Gyro désactivé,,
stabilisation-on.wav,Stabilisation activée,,
stabilisation-off.wav,Stabilisation désactivée,,
emergency-on.wav,Mise à plat activée,,
emergency-off.wav,Mise à plat désactivée,,
torque-on.wav,Torque activé,,
torque-off.wav,Torque désactivé,,
tranche-on.wav,Vol tranche activé,,
tranche-off.wav,Vol tranche désactivé,,
ecolage-on.wav,Ecolage activé,,
ecolage-off.wav,Ecolage désactivé,,
carburant.wav,Carburant,,
carbu-niveau.wav,Niveau carburant,,
carbu-crit.wav,Carburant critique,,
lipo-volt-crit.wav,Tension lipo critique,,
lipo-cell-crit.wav,Ecart élément lipo critique,,
debat-petits.wav,Petits débattements,,
debat-moyens.wav,Moyens débattements,,
debat-grands.wav,Grands débattements,,
aerofrein-on.wav,Aérofrein sorti,,
aerofrein-off.wav,Aérofrein rentré,,
arme.wav,Armé,,
active.wav,Activé,,
desactive.wav,Désactivé,,
desarme.wav,Désarmé,,
crochet-on.wav,Crochet activé,,
crochet-off.wav,Crochet désactivé,,
frein-on.wav,Frein activé,,
frein-off.wav,Frein désactivé,,
autorot.wav,Autorotation,,
failsafe-on.wav,Failsafe activé,,
failsafe-off.wav,Failsafe désactivé,,
bougie-on.wav,Chauffe bougie activé,,
bougie-off.wav,Chauffe bougie désactivé,,
cam-on.wav,Caméra activée,,
cam-off.wav,Caméra désactivée,,
cam-centre.wav,Caméra centrée,,
cam-manuel.wav,Caméra manuelle,,
enregistre-on.wav,Enregistrement activé,,
enregistre-off.wav,Enregistrement désactivé,,
fumi-on.wav,Fumigène activé,,
fumi-off.wav,Fumigène désactivé,,
video-on.wav,Vidéo activée,,
video-off.wav,Vidéo désactivée,,
volt-rx.wav,Tension récepteur,,
volt-tx.wav,Tension émetteur,,
volt-lipo.wav,Tension lipo,,
rssi.wav,Signal radio,,
gps.wav,GPS,,
gps-on.wav,GPS activé,,
gps-off.wav,GPS désactivé,,
securite-on.wav,Sécurité activée,,
securite-off.wav,Sécurité désactivée,,
lumiere-on.wav,Lumière activée,,
lumiere-off.wav,Lumière désactivée,,
manuel.wav,Manuel,,
auto.wav,Automatique,,
telemetrie.wav,Télémétrie,,
telemetrie-on.wav,Enregistrement télémétrie activé,,
telemetrie-off.wav,Enregistrement télémétrie désactivé,,
chrono1-raz.wav,Réinitialisation Chrono 1,,
chrono2-raz.wav,Réinitialisation Chrono 2,,
chrono3.raz.wav,Réinitialisation Chrono 3,,
chrono1-zero.wav,Chrono 1 à 0,,
chrono2-zero.wav,Chrono 2 à 0,,
chrono3-zero.wav,Chrono 3 à 0,,
decollage.wav,Décollage,,
atterrissage.wav,Atterrissage,,
quadro-on.wav,Quadroflap activé,,
quadro-off.wav,Quadroflap désactivé,,
snap-on.wav,Snapflap activé,,
snap-off.wav,Snapflap désactivé,,
starter-on.wav,Starter activé,,
starter-off.wav,Starter désactivé,,
turbine-on.wav,Turbine activée,,
turbine-off.wav,Turbine désactivée,,
reacteur-on.wav,Réacteur activé,,
reacteur-off.wav,Réacteur désactivé,,
chrono1-on.wav,Chrono 1 activé,,
chrono1-off.wav,Chrono 1 désactivé,,
chrono2-on.wav,Chrono 2 activé,,
chrono2-off.wav,Chrono 2 désactivé,,
chrono3-on.wav,Chrono 3 activé,,
chrono3-off.wav,Chrono 3 désactivé,,
